Text,DS_r1_emotion
|Excuse me.|,Command
|Do you have your forms?|,Question
|Yeah.|,Backchannel  
|Yeah.|,
|Yeah.|,"*(Reasoning: ""Yeah."" is a minimal verbal cue showing active listening, signaling the speaker is engaged without adding new information—fitting ""Backchannel"" perfectly.)*"
|Let me see them.|,"Based on the phrase ""Let me see them,"" the classification is:"
|Let me see them.|,
|Let me see them.|,**Command**,Command
|Let me see them.|,
|Let me see them.|,*(It is a directive requesting someone to show something.)*
|Is there a problem?|,Question
|Who told you to get in this line?|,"The text ""Who told you to get in this line?"" is a **Question**.  ",Question
|Who told you to get in this line?|,
|Who told you to get in this line?|,*(Reason: It directly asks for information about who gave an instruction.)*
|You did.|,Acknowledge
|You were standing at the beginning and you directed me.|,Statement Non Opinion  
|You were standing at the beginning and you directed me.|,
|You were standing at the beginning and you directed me.|,"*(The text neutrally describes a past action without expressing emotion, judgment, or personal perspective.)*"
|Okay. But I didn't tell you to get in this line if you are filling out this particular form.|,Disagreement
|Well what's the problem?  Let me change it.|,"Based on the text ""Well what's the problem? Let me change it."":"
|Well what's the problem?  Let me change it.|,
|Well what's the problem?  Let me change it.|,**Command**,Command
|Well what's the problem?  Let me change it.|,
|Well what's the problem?  Let me change it.|,*(The speaker is directly instructing/requesting action: identifying the problem and initiating a change.)*
|This form is a Z.X.four.|,**Interaction type:** Statement Non Opinion  ,Interaction type:
|This form is a Z.X.four.|,**Emotion:** None  ,Emotion:
|This form is a Z.X.four.|,
|This form is a Z.X.four.|,*(Reason: Neutral statement identifying a form designation without expressive language.)*
"|You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.|",Command
"|You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.|",
"|You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.|","*(The text directly instructs someone on what they cannot do and what they need to do, exhibiting an authoritative, corrective tone.)*"
|What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.|,"Based on the text (""What? I'm getting an ID. This is why I'm here. My wallet was stolen.""), the emotion shown is best classified as:"
|What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.|,
